,losses,accuracies,val_losses,val_accuracies,time,test_total_loss,test_total_accuracy
0,0.81810087,0.324443025,0.72342861,0.52217305,121,0.0543,0.9826
1,0.36810052,0.709106925,0.27827623,0.8385368,116,,
2,0.15218757,0.9019994,0.13744986,0.93393618,116,,
3,0.08830574,0.947817638,0.09210161,0.95709521,116,,
4,0.06310246,0.962670738,0.06442816,0.97012329,116,,
5,0.04026974,0.977222475,0.04495267,0.9795326,116,,
6,0.02885976,0.983912725,0.0365121,0.98323125,116,,
7,0.02140335,0.988403788,0.02728472,0.98769015,116,,
8,0.02423847,0.9855976,0.02338407,0.98958296,116,,
9,0.01416063,0.992767063,0.01944198,0.99144042,116,,
