,losses,accuracies,val_losses,val_accuracies,time,test_total_loss,test_total_accuracy
0,0.83033526,0.306574513,0.83820432,0.43193626,165,0.0665,0.975
1,0.58148605,0.505456663,0.60830605,0.58412081,156,,
2,0.3745268,0.684971963,0.32113013,0.79175246,155,,
3,0.17447667,0.864622225,0.1401647,0.91658586,156,,
4,0.07761392,0.944198075,0.07259963,0.95833629,155,,
5,0.04115495,0.971461163,0.04182778,0.97642088,155,,
6,0.02572229,0.98246575,0.04241955,0.97519839,154,,
7,0.01962277,0.986286475,0.02191401,0.98744094,155,,
8,0.01395444,0.990315075,0.01964674,0.98857987,155,,
9,0.01647706,0.98737165,0.01443208,0.99162555,156,,
