,losses,accuracies,val_losses,val_accuracies,time,test_total_loss,test_total_accuracy
0,0.83013737,0.308143325,0.83995098,0.42710084,170,0.0665,0.975
1,0.57955372,0.507130063,0.59656399,0.59525377,159,,
2,0.35839167,0.700590763,0.30396169,0.80445158,158,,
3,0.16452503,0.873179138,0.13406205,0.92268056,158,,
4,0.08208656,0.94426565,0.07404409,0.96288866,158,,
5,0.04611054,0.972363725,0.04951417,0.97686219,158,,
6,0.03114761,0.982630475,0.03461106,0.98436385,158,,
7,0.02301355,0.987627725,0.02953768,0.98651916,158,,
8,0.01820868,0.990443825,0.02502669,0.98828632,158,,
9,0.01490995,0.992157163,0.01803133,0.99211729,158,,
